Track Name,Artist Name(s),Album Name,Album Release Date,Explicit,
Coup de Grace,Motohead,Aftershock,10/18/2013,FALSE,"Make it quick, the Coup de Grace
Makes you dead, kills your ass
Gives you nightmares, bad dreams
Panic in the dark
Don't you go there, stay right here
Dinner with the sharks
Open up your mind
Life is so unkind
Shine a light on me
Tell me what the hell
I was sleeping like a baby
Trying to make me well
If you will not play the game
You will be cast out
No disgrace, smiley face
Work it out
Take it quick, run like hell
They will catch you as well
Give you time, years and years
Bars on all the doors
Don't you do it, stick around
Random to the core
Don't believe a word
Don't run with the herd
I don't like the news
Watch it every week
Just because I don't believe it
Don't make me a freak
If you knew the real stories
Can't be fooled no more
You can kiss or you can tell
Parasite or whore
Make your way, seize the time
Your life is as fucked as mine
No one's going anywhere
Without a buck or two
Wait a second, stay right there
I'll be back for you
Don't believe the lies
Truth will make you wise
Stay here in the room
Show me all your tricks
I know all the things you need
I will get you fixed
If you tell me dirty stories
I'll be on your side
Then we know just where to stand
Nationwide"
Kingmaker,Megadeth,Super Collider,1/1/2013,FALSE,"Generation of the dark, watch their lives decay
Persecuting their own kind, there's nothing you can say
Don't ask anyone for help, they won't know what to do
If you try, if you don't die, you'll end up black and blue
Epidemic of addiction, worshiping the pill
Drown them all with alcohol, anything for thrills
Precious life goes up in smoke, going nowhere fast
The world is running rampant and you know that this can't last
I want everything that makes me feel alright
That feels alive, don't ask me why
I want everything, right before my eyes, I can't deny
I want to be the King, Kingmaker!
Kingmaker!
Searching for an answer, but you see you're all alone
Mom and Daddy's lights are on but nobody's home
They glorify their tortured life; they talk of days like this
Sentencing their children, when they need to eat a fist
Narcotics have enslaved them; now it's coming after you
Pearls of wisdom hit the floor, there's nothing you can do
Out of control, you sell your soul, so blind, you couldn't see
Ten feet tall, it made you crawl; it's better you than me
I want everything that makes me feel alright
That feels alive, don't ask me why
I want everything, right before my eyes, I can't deny
I want to be the King, Kingmaker!
Kingmaker!
I want everything that makes me feel alright
That feels alive, don't ask me why
I want everything, right before my eyes, I can't deny
I want to be the King!
It makes me feel alive (I want everything)
It makes me feel alright (I want everything)
The things I can't deny (I want everything)
I want to be the King!"
Criminals,Katatonia,Viva Emptiness - 10th Anniversay Edition,2003,FALSE,"The way the light hits the road
The way I am unable to protect you
Oh I'm running away
I will never forgive myself
For running away from you
He came back to your house
I didn't take it as a promise
Always thought it was a lie
He went too far the fucker
It's not like I owe him money
This is different
So gather your strength and break free
Or you will surely die
Gather your strength don't follow me
Cause I will surely die
The way my eyes cannot move
The way I hope to be protected
And for one moment I thought
That I was lost among the lights of houses
He came back to your house
I didn't take it as a promise
Always thought it was a lie
He went too far the fucker
It's not like I owe him money
This is different
So gather your strength and break free
Or you will surely die
Gather your strength don't follow me
Cause I will surely die
My dreams of violence
See them coming true
He came back to your house
I didn't take it as a promise
Always thought it was a lie
He went too far the fucker
It's not like I owe him money
This is different
So gather your strength and break free
Or you will surely die
Gather your strength don't follow me
Cause I will surely die"
Killing the Dragon,Dio,The Very Beast Of Dio Vol. 2,10/9/2012,FALSE,"Silence, we hunt for the queen
Sign of the cross
And pray in-between

Look by the light of the day
She's hiding till dark
Waiting to play hey-hey

Something's taken a child
And it all must end
Time to be killing the dragon again

Silence, we'll hunt for the lord
He takes crimson and gold
Gave ice to the cold

Oh to be never afraid
Of wolves at the door
Howling for more

More's been empty for years
And it all must end
Time to be killing the dragon again

Kneel and behold your new king
Digital dreams
And wonderful things to tease you

Small gods with electrical hearts
And it all will end
Time to be killing the dragon
"
"Die with Your Boots On - Live Birmingham NEC, 1988; 2013 Remaster",Iron Maiden,Maiden England '88 (2013 Remaster),3/25/2013,FALSE,"Yeah, another prophet of disaster
Who says this ship is lost?
Another prophet of disaster
Leaving you to count the cost
Taunting us with visions
Afflicting us with fear
Predicting war for millions
In the hope that one appears
No point asking when it is
No point asking who's to go
No point asking what's the game
No point asking who's to blame
Cause if you're gonna die
(If you're gonna die)
If you're gonna die, die
(If you're gonna die)
If you're gonna die
(If you're gonna die)
If you're gonna die
If you're gonna die, die with your boots on
If you're gonna try, well, stick around
Gonna cry, just move along
If you're gonna die, you're gonna die
If you're gonna die, die with your boots on
If you're gonna try, well, stick around
Gonna cry, just move along
If you're gonna die, you're gonna die
In 13, the beast is rising
The Frenchman did surmise
Through earthquakes and starvation
The warlord will arise
Terror, death, destruction
Pour from the eastern sands
But the truth of all predictions
Is always in your hands
No point asking when it is
No point asking who's to go
No point asking what's the game
No point asking who's to blame
Cause if you're gonna die
(If you're gonna die)
If you're gonna die, die
(If you're gonna die)
If you're gonna die
(If you're gonna die)
If you're gonna die
If you're gonna die, die with your boots on
If you're gonna try, well, stick around
Gonna cry, just move along
If you're gonna die, you're gonna die, ha! ha!
If you're gonna die, die with your boots on
If you're gonna try, well, stick around
Gonna cry, just move along
If you're gonna die, you're gonna die
They died, with their boots on
Yes, they died
They died, they died, with their boots on
We died, we died, we died, we died, we died
No point asking when it is
No point asking who's to go
No point asking what's the game
No point asking who's to blame
Cause if you're gonna die
(If you're gonna die)
If you're gonna die, die
(If you're gonna die)
If you're gonna die
(If you're gonna die)
If you're gonna die
If you're gonna die, die with your boots on
If you're gonna try, well, stick around
Gonna cry, just move along
If you're gonna die, you're gonna die
If you're gonna die, die with your boots on
If you're gonna try, well, stick around
Gonna cry, just move along
If you're gonna die, die!"
Cadaver Pouch Conveyor System,Carcass,Surgical Steel,9/10/2013,FALSE,"Bloodlustmord
Bloodlustmord
Cold blooded passion zealous lustful wargasm
deranged-bloodlustmord
Bloodlustmord
Total arousal, a frigid wargasm
engaged-bloodlustmord
Ribbons and flags as mortuary drapes
Poppies and bunting come repatriate
Insufflate the pink mist
The intoxicating pink mist
A putrid picador in this circus of death
A swift assembly line churning out the bereft
Insufflate the pink mist
The intoxicating pink mist
Intolerable cruelty
Concupiscent misery
The machinations of the ground
Choose to dance with the living mutilated
Your progeny you betray
Cadaver pouch plastic cortege
In death their is no honour
The pitiless seduction of the gullible
Intolerable cruelty
The ecstasy of enmity
Your progeny you betray
Cadaver pouch-plastic cortege
The intoxicating pink mist
Poisonous mixologist necrologist militarist
Cold blooded passion zealous lustful wargasm
Total arousal a wanton wargasm of pain
Bloodlustmord
The embrace of the paternal mortuary
Seductive bloodlustmord"
Out in the Cold - Live,Judas Priest,Setlist: The Very Best of Judas Priest Live,5/27/2013,FALSE,"I'm layin' awake at night
I can't get you out of my mind
All I can hear is my heart beat
And a voice in the dark of some kind
Where are you now?
The fears are comin' back to me once again
Oh, I wish you were here
Takin' good care of me
I want you
I feel as though I'm out in the cold
Out in the cold
Hear me calling
Cold
Out in the cold
Please rescue me
I know it was you I hurt
I didn't mean to hurt you
So much to forgive and forget
Can't take anymore of this hurt
Oh no, Oh no
There's so many things I regret
Where are you now?
The fears are comin' back to me once again
Oh, I wish you were here
Takin' good care of me
I want you
I feel as though I'm out in the cold
Shut me out
Out in the cold
Where are you now?
Hear me calling
I need you I'm so cold
Can't you hear my heart beat?
Out in the cold
Please rescue me
Give me a chance, baby
There's nothing I wouldn't do to make it alright
Just for one more chance, baby
I need all your lovin' tonight
Where are you now?
The fears are comin' back to me once again
Oh, I wish you were here
Takin' good care of me
I want you
I feel as though I'm out in the cold
Shut me out
Out in the cold
Where are you now?
Hear me calling
I need you I'm so cold
Can't you hear my heart beat?
Out in the cold
Please rescue me
Why don't you rescue me?!
Cold
Shut me out
Out in the cold
Where are you now?
Hear me calling
I need you I'm so cold
Can't you hear my heart beat?
Out in the cold
Please rescue me
Why don't you rescue me?!
I'm so cold
Shut me out
Out in the cold
Where are you now?
Hear me calling
I need you I'm so cold
Can't you hear my heart beat
Out in the cold
Please rescue me"
The Vatican,Sepultura,The Mediator Between Head And Hands Must Be The Heart,10/25/2013,FALSE,"A bloody revolution in the name and love of Christ
Sadistic pedophile, abusers of lies and lust
The power of the church over men's intellect
A story of sacred swords, the darkest age of mankind
Reign of dark skies, walls of death and silence!
Reign of dark skies, walls of death and silence!
Alexander VI, Boniface VIII
Pius IX
John XXIII, Damasus I
Pius XII
Reign of dark skies, walls of death and silence!
Reign of dark skies, walls of death and silence!
A disgrace to the chair of Peter, in the ways of violent deaths
Banquets and evil orgies in the heart the Holy See
Indulgence from the bank for the works of religion
Conspiracies and corruption are leading us to the end
Reign of dark skies, walls of death and silence!
Reign of dark skies, walls of death and silence!
Alexander VI, Boniface VIII
Pius IX
John XXIII, Damasus I
Pius XII
Crusaders, the knights of sacrifice
Purveyors the death of change
Crusaders, the knights of sacrifice
Dictators of change
Reign of dark skies, walls of death and silence!
Reign of dark skies, walls of death and silence!
Reign of dark skies, walls of death and silence!
Reign of dark skies, walls of death and silence!
Reign
Reign
Reign
Reign"
Ghost Love Score (Live) - Edit,Nightwish,Ghost Love Score (Live) [Edit],11/15/2013,FALSE,"We used to swim the same moonlight waters
            Oceans away from the wakeful day

            My fall will be for you - My fall will be for you My love will be in you If you be the one to cut me I will bleed forever
            Scent of the sea before the waking of the world
            Brings me to thee
            Into the blue memory

            My fall will be for you - My fall will be for you My love will be in you If you be the one to cut me I will bleed forever
            Into the blue memory

            A siren from the deep came to me
            Sang my name my longing
            Still I write my songs about that dream of mine
            Worth everything I may ever be

            The Child will be born again
            That siren carried him to me
            First of them true loves
            Singing on the shoulders of an angel
            Without care for love ‘n loss

            Bring me home or leave me be
            My love in the dark heart of the night
            I have lost the path before me
            The one behind will lead me

            Take me
            Cure me
            Kill me
            Bring me home
            Every way
            Every day
            Just another loop in the hangman’s noose

            Take me, cure me, kill me, bring me home
            Every way, every day
            I keep on watching us sleep

            Relive the old sin of Adam and Eve
            Of you and me
            Forgive the adoring beast

            Redeem me into childhood
            Show me myself without the shell
            Like the advent of May
            I’ll be there when you say
            Time to never hold our love

            My fall will be for you - My fall will be for you My love will be in you You were the one to cut me So I’ll bleed forever"
Tsunami,Sepultura,The Mediator Between Head and Hands Must be the Heart,10/25/2013,FALSE,"The wrath rages on with no discrimination of wealth
Seeking to create destruction
Whoever stands in the way

A force to deal with it
One and all will fall beneath
There's no good reason for ourselves
Death is calling out

All out!
Ripping apart!
All out!
All is dark!

Fate is lashing out
Forgiving all your sins
Released unto all
Let the healing begin

God save me now
A fury is breaking free
A force to be dealt with
One and all will fall

Many run to look for shelter and realize it can't exist
It has only one mission
To wipe all that's in the way

It's a tsunami!
All out!
Ripping apart!
All out!
All is dark!"
Super Collider,Megadeth,Super Collider,1/1/2013,FALSE,"When you feel life is bringing you down
And you see that you're all alone
When your friends they have all run out
That is when you will know I'm the one
On the high road (on the high road)
I will take you higher (I will take you higher)
'Til the world explodes ('til the world explodes)
Just like a super collider (like a super collider)
This could be all the heaven you'll see
Life can be wicked, mean, and cold
Could this be the end of your living hell?
Come with me and I'll free your soul (hooah!)
On the high road (on the high road)
I will take you higher (I will take you higher)
'Til the world explodes ('til the world explodes)
Just like a super collider (like a super collider)
Just one thing that I want you to know
You don't need to be on your own
No more feeling left out in the cold
Take my hand and I'll take you home
On the high road (on the high road)
I will take you higher (I will take you higher)
'Til the world explodes ('til the world explodes)
Just like a super collider (like a super collider)
On the high road (on the high road)
I will take you higher (I will take you higher)
'Til the world explodes ('til the world explodes)
Just like a super collider (super collider yeah)
On the high road (like a super collider)
I will take you higher (like a super collider)
'Til the world explodes (like a super collider)
Super collider"
End of Disclosure,Hypocrisy,End Of Disclosure,3/22/2013,FALSE,"I'm sitting on the moon looking down on you
And watching what you've become
The new world order has a plan for you
A great deception that will make you numb
Fantasy invasion from the sky
Trillion dollars secret funds
Drilling cities underground
Only for the selected ones
End of disclosure
Now the countdown has begun
End of disclosure
Before they kill everyone
Don't speak
You will disappear
They're gonna erase the truth
Mass genocide
70% will die
It's too late for you
Fantasy invasion from the sky
Trillion dollars secret funds
Drilling cities underground
Only for the selected ones
End of disclosure
Now the countdown has begun
End of disclosure
Before they kill everyone
They're gonna nuke the world
When they're hiding in their bunks
Slaughter us like animals
End of disclosure
Now the countdown has begun
End of disclosure
Before they kill everyone
End of disclosure
Now the countdown has begun
End of disclosure
Before they kill everyone"
Jackhammer,Emperor,Jackhammer - EP,9/23/2013,FALSE,
Medicine Man,Pantera,The Pantera Collection,8/30/2013,TRUE,"Many distant miles away
Past the shores of ever dark
There stays a magic man
Who bears an evil mark
He helps all concerned
Those who come again return
Injecting lies while fires burn
The devil's heart
With angel's words
Have you wondered what heaven's like?
He can show you in one night
Overwhelming with euphoric lift
To lure you to steal your gift
Intoxication
Seeping down to the bone
And there's no question
To where you have to go
Understand, just take his hand
He's the medicine man
Understand, just take his hand
He's the medicine man
Once proud and fearless men
With desire in their eyes
Lost strong and fruitful lives
To self-indulgent ties
Their souls were dipped in venom
And put into a box
Then placed upon a crowded shelf
Where countless souls now rot
Have you ever wondered what hell's like?
He can take you there
Just one taste and you'll be back
And by the high you'll swear
Intoxication
Seeping down to the bone
And there's no question
To where you have to go
Understand, just take his hand
He's the medicine man
Understand, just take his hand
He's the medicine man
Understand, just take his hand
He's the medicine man
Understand, just take his hand
He's the medicine man"
Find Your Story,Nightwish,Imaginaerum (The Score),11/12/2012,FALSE,
Master of Puppets (Live),Metallica,Metallica Through The Never (Music from the Motion Picture),2013,FALSE,"End of passion play, crumbling away
I'm your source of self-destruction
Veins that pump with fear, sucking darkest clear
Leading on your death's construction
Taste me, you will see
More is all you need
Dedicated to
How I'm killing you
Come crawling faster (faster)
Obey your master (master)
Your life burns faster (faster)
Obey your master, master
Master of puppets, I'm pulling your strings
Twisting your mind and smashing your dreams
Blinded by me, you can't see a thing
Just call my name 'cause I'll hear you scream
Master, master
Just call my name 'cause I'll hear you scream
Master, master
Needlework the way, never you betray
Life of death becoming clearer
Pain monopoly, ritual misery
Chop your breakfast on a mirror
Taste me, you will see
More is all you need
Dedicated to
How I'm killing you
Come crawling faster (faster)
Obey your master (master)
Your life burns faster (faster)
Obey your master, master
Master of puppets, I'm pulling your strings
Twisting your mind and smashing your dreams
Blinded by me, you can't see a thing
Just call my name 'cause I'll hear you scream
Master, master
Just call my name 'cause I'll hear you scream
Master, master
(Master, master, master, master)
Master, master, where's the dreams that I've been after?
Master, master, you promised only lies
Laughter, laughter, all I hear or see is laughter
Laughter, laughter, laughing at my cries
Fix me!
Hell is worth all that, natural habitat
Just a rhyme without a reason
Never-ending maze, drift on numbered days
Now your life is out of season
I will occupy
I will help you die
I will run through you
Now I rule you too
Come crawling faster (faster)
Obey your master (master)
Your life burns faster (faster)
Obey your master, master
Master of puppets, I'm pulling your strings
Twisting your mind and smashing your dreams
Blinded by me, you can't see a thing
Just call my name 'cause I'll hear you scream
Master, master
Just call my name 'cause I'll hear you scream
Master, master"
Progenies of the Great Apocalypse,Dimmu Borgir,Epic Metal: The 20 Most Epic Metal Hits from Nuclear Blast,9/27/2013,FALSE,"The battle raged on and on
Fuelled by the venom of hatred for men
Consistently, without the eyes to see
By those who revel in sewer equally
We, the prosperity of the future seal
Cloaked by the thunders of the north wind
Born to capture
The essence of the trails of our kind
Zero tolerance must be issued forth
Behind the enemy's line
So it shall be written
And so it shall be done
Zero tolerance must be issued forth
Behind the enemy's line
So it shall be written
And so it shall be done
The battle raged on and on
Fuelled by the venom of hatred for men
Consistently, without the eyes to see
By those who revel in sewer equally
We, the prosperity of the future seal
Cloaked by the thunders of the north wind
Born to capture
The essence of the trails of our kind
Discover and conceive the secret wealth
And pass it unto your breed
Become your own congregation
Measure the sovereignty of its invigoration
We, who not deny the animal of our nature
We, who yearn to preserve our liberation
We, who face darkness in our hearts with a solemn fire
We, who aspire to the truth and pursue its strength
Are we not the undisputed prodigy of warfare
Fearing all the mediocrity that they possess?
Should we not hunt the bastards down with our might
Reinforce and claim the throne that is rightfully ours?
Consider the god we could be without the grace
Once and for all
Diminish the sub principle and leave its toxic trace
Once and for all"
